iter	RMSE
787	362880.5916
788	362773.4477
789	362666.7555
790	362499.854
791	362393.5016
792	362123.069
793	361753.2872
794	361646.9799
795	361541.2835
796	361128.7579
797	360704.2116
798	360488.7261
799	360100.5812
800	359994.8925
801	359595.5232
802	359489.8787
803	359022.0608
804	358897.7914
805	358402.8533
806	358164.7835
807	358059.1364
808	357677.5531
809	357573.3221
810	357436.6328
811	356726.8637
812	356563.5987
813	356459.3687
814	355933.6011
815	355746.5995
816	355642.9845
817	355540.1751
818	355165.5412
819	355063.7577
820	354558.7746
821	354120.6991
822	353793.1729
823	353691.2589
824	353369.2579
825	352975.2493
826	352440.0693
827	352305.3647
828	352009.5808
829	351907.712
830	351638.3082
831	351390.3494
832	351289.2193
833	351188.8458
834	351005.7501
835	350906.2448
836	350471.5069
837	350316.1413
838	350217.0033
839	349654.7268
840	349556.0163
841	349406.0558
842	349040.3229
843	348942.0355
844	348844.1953
845	348461.7745
846	348119.2103
847	347830.0329
848	347641.9979
849	347544.0403
850	347446.8467
851	347350.0844
852	347253.7841
853	347158.1502
854	346923.9874
855	346828.6781
856	346446.634
857	346351.7391
858	346257.3088
859	346108.8849
860	346014.7958
861	345660.7944
862	345567.1847
863	345474.0581
864	345293.6098
865	345200.6327
866	345064.4626
867	344418.1684
868	344144.8881
869	343910.5206
870	343817.6606
871	343407.7776
872	343315.2127
873	343171.9098
874	342918.3777
875	342826.0854
876	342734.4512
877	342346.0925
878	342254.7074
879	342166.2908
880	341809.8393
881	341719.0415
882	341628.9029
883	341234.3309
884	340908.1208
885	340623.3808
886	340533.1851
887	340443.6185
888	340268.0114
889	339961.2359
890	339564.6263
891	339475.0057
892	339385.612
893	339173.5159
894	339032.4672
895	338665.0784
896	338575.8185
897	338435.4756
898	338089.3284
899	338000.6644
900	337912.4921
901	337556.1569
902	337404.2752
903	337316.6138
904	337178.957
905	337091.4722
906	336710.3985
907	336623.3281
908	336536.8041
909	336450.6051
910	336364.8368
911	336026.3766
912	335890.522
913	335718.2524
914	335600.855
915	335302.0506
916	335216.2886
917	335131.0178
918	335046.0978
919	334650.9229
920	334404.2453
921	334270.8034
922	333896.4836
923	333811.5731
924	333493.277
925	333408.6134
926	333159.3372
927	333075.4376
928	332885.5906
929	332802.1595
930	332433.1946
931	332300.9092
932	332133.3715
933	331772.2094
934	331425.9681
935	331342.3394
936	331259.0164
937	330958.9522
938	330876.075
939	330755.3602
940	330673.055
941	330404.0047
942	329921.1863
943	329838.9975
944	329710.6066
945	329388.2691
946	329060.2347
947	328977.9864
948	328705.073
949	328623.1403
950	328097.7617
951	327970.429
952	327724.0494
953	327642.1571
954	327560.6931
955	327479.7386
956	327137.9632
957	327057.543
958	326767.118
959	326464.9915
960	326384.9863
961	325977.814
962	325760.1781
963	325680.1678
964	325555.1237
965	325475.4694
966	325396.6326
967	325243.5762
968	325164.9482
969	324845.0362
970	324766.923
971	324504.331
972	324426.2111
973	324094.9233
974	324017.1027
975	323940.0863
976	323817.2086
977	323514.0582
978	323272.6173
979	323113.5237
980	322826.904
981	322749.7954
982	322606.6775
983	322273.5342
984	322167.6365
985	322090.695
986	321971.2356
987	321785.1531
988	321477.1811
989	321400.8171
990	321324.8595
991	321249.4052
992	320995.6124
993	320920.4653
994	320638.506
995	320563.5005
996	320184.1496
997	319796.6027
998	319678.9386
999	319316.3159
